Year,Quarter,Net Sales (million)
1994,4,267.12
1995,1,195.05
1995,2,209.83
1995,3,257.23
1995,4,329.32
1996,1,249.69
1996,2,268.5
1996,3,265.64
1996,4,341.9
1997,1,264.98
1997,2,307.15
1997,3,355.18
1997,4,473.16
1998,1,354.22
1998,2,400.71
1998,3,444.22
1998,4,615.38
1999,1,462
1999,2,530.52
1999,3,590.37
1999,4,810.54
2000,1,637.59
2000,2,685.75
2000,3,732.04
2000,4,1171.08
2001,1,913
2001,2,1015
2001,3,1105
2001,4,1686
2002,1,1154
2002,2,1225
2002,3,1329
2002,4,1838
2003,1,1278
2003,2,1461
2003,3,1366
2003,4,2151
2004,1,1414
2004,2,1573
2004,3,1649
2004,4,2318
2005,1,1667
2005,2,1824
2005,3,1899
2005,4,2792
2006,1,1886
2006,2,2027
2006,3,2118
2006,4,3247
2007,1,2027
2007,2,2283
2007,3,2477
2007,4,3339
2008,1,2286
2008,2,2541
2008,3,3110
2008,4,3854
2009,1,2774
2009,2,2916
2009,3,3173
2009,4,4223
2010,1,3036
2010,2,3156
2010,3,3233
2010,4,4214
2011,1,3004
2011,2,3111
