Date,Disposable Income
01-01-1995,5370.5
02-01-1995,5386.1
03-01-1995,5405
04-01-1995,5374.1
05-01-1995,5432
06-01-1995,5451.2
07-01-1995,5467.1
08-01-1995,5480.5
09-01-1995,5500.5
10-01-1995,5520
11-01-1995,5537.3
12-01-1995,5559.7
01-01-1996,5580.2
02-01-1996,5637
03-01-1996,5675.1
04-01-1996,5659.8
05-01-1996,5744.5
06-01-1996,5780.6
07-01-1996,5778.9
08-01-1996,5800.4
09-01-1996,5831.4
10-01-1996,5849.2
11-01-1996,5875.7
12-01-1996,5902.7
01-01-1997,5929.4
02-01-1997,5958
03-01-1997,5989.9
04-01-1997,5997.3
05-01-1997,6018.4
06-01-1997,6044
07-01-1997,6071.6
08-01-1997,6108.1
09-01-1997,6138.5
10-01-1997,6174.5
11-01-1997,6214.4
12-01-1997,6250.8
01-01-1998,6316.4
02-01-1998,6357.9
03-01-1998,6398.4
04-01-1998,6428.1
05-01-1998,6464.4
06-01-1998,6497.8
07-01-1998,6526.5
08-01-1998,6558
09-01-1998,6575.1
10-01-1998,6600.8
11-01-1998,6625.5
12-01-1998,6638.5
01-01-1999,6673.4
02-01-1999,6688.4
03-01-1999,6700.3
04-01-1999,6720.9
05-01-1999,6738.7
06-01-1999,6763
07-01-1999,6787.9
08-01-1999,6827.6
09-01-1999,6844.3
10-01-1999,6899
11-01-1999,6958.7
12-01-1999,7037.6
01-01-2000,7118.4
02-01-2000,7180.8
03-01-2000,7225.6
04-01-2000,7248.4
05-01-2000,7277.4
06-01-2000,7315.6
07-01-2000,7366.3
08-01-2000,7398.8
09-01-2000,7436.6
10-01-2000,7443.9
11-01-2000,7444.4
12-01-2000,7469.9
01-01-2001,7540.7
02-01-2001,7562.9
03-01-2001,7580.6
04-01-2001,7567.7
05-01-2001,7572.1
06-01-2001,7590.5
07-01-2001,7706
08-01-2001,7843.9
09-01-2001,7763.3
10-01-2001,7663.5
11-01-2001,7683.5
12-01-2001,7706.7
01-01-2002,7887.2
02-01-2002,7908.1
03-01-2002,7934.4
04-01-2002,7991.9
05-01-2002,8014.9
06-01-2002,8039.5
07-01-2002,8023.8
08-01-2002,8024.8
09-01-2002,8036.2
10-01-2002,8059.9
11-01-2002,8080.9
12-01-2002,8114.6
01-01-2003,8134
02-01-2003,8166.3
03-01-2003,8219.3
04-01-2003,8255.7
05-01-2003,8312
06-01-2003,8341.2
07-01-2003,8442.8
08-01-2003,8521.8
09-01-2003,8455.9
10-01-2003,8508.5
11-01-2003,8571.6
12-01-2003,8604.4
01-01-2004,8634.3
02-01-2004,8665.6
03-01-2004,8711.5
04-01-2004,8764.1
05-01-2004,8834.6
06-01-2004,8863.5
07-01-2004,8894.3
08-01-2004,8946.4
09-01-2004,8962.4
10-01-2004,9015.3
11-01-2004,9026.5
12-01-2004,9354.6
01-01-2005,9050.4
02-01-2005,9075.2
03-01-2005,9097.3
04-01-2005,9147.9
05-01-2005,9192
06-01-2005,9243.3
07-01-2005,9306.4
08-01-2005,9354.3
09-01-2005,9399.7
10-01-2005,9444.1
11-01-2005,9486.2
12-01-2005,9530.9
01-01-2006,9651.8
02-01-2006,9708.5
03-01-2006,9755.3
04-01-2006,9821.7
05-01-2006,9853.2
06-01-2006,9916.4
07-01-2006,9939.3
08-01-2006,9985.8
09-01-2006,10022.5
10-01-2006,10061.1
11-01-2006,10097.4
12-01-2006,10175.2
01-01-2007,10198.2
02-01-2007,10252.9
03-01-2007,10315.3
04-01-2007,10340.2
05-01-2007,10363.9
06-01-2007,10371.7
07-01-2007,10413.6
08-01-2007,10436.9
09-01-2007,10520.2
10-01-2007,10558.5
11-01-2007,10614.7
12-01-2007,10697
01-01-2008,10822.3
02-01-2008,10880.7
03-01-2008,10935.7
04-01-2008,10913.2
05-01-2008,11482.6
06-01-2008,11264.1
07-01-2008,11147.5
08-01-2008,11047.4
09-01-2008,11048.7
10-01-2008,11006.6
11-01-2008,10929.8
12-01-2008,10815.4
01-01-2009,10847
02-01-2009,10746.3
03-01-2009,10705.7
04-01-2009,10763
05-01-2009,10923.9
06-01-2009,10784.3
07-01-2009,10743.5
08-01-2009,10747.1
09-01-2009,10770
10-01-2009,10753.3
11-01-2009,10805.9
12-01-2009,10875.9
01-01-2010,10958
02-01-2010,10983.3
03-01-2010,11032.6
04-01-2010,11108.1
05-01-2010,11166
06-01-2010,11176.6
07-01-2010,11208.5
08-01-2010,11258.5
09-01-2010,11254.2
10-01-2010,11310.9
11-01-2010,11321.9
12-01-2010,11377.3
01-01-2011,11427.5
02-01-2011,11483.5
03-01-2011,11532.1
04-01-2011,11550.8
05-01-2011,11559.7
06-01-2011,11566.9
07-01-2011,11570.3
08-01-2011,11558.8
09-01-2011,11566.6
10-01-2011,11596.8
