Date Label,Civilian Unemployment (%),Date
01-01-1948,3.4,1948.041667
02-01-1948,3.8,1948.125
03-01-1948,4,1948.208333
04-01-1948,3.9,1948.291667
05-01-1948,3.5,1948.375
06-01-1948,3.6,1948.458333
07-01-1948,3.6,1948.541667
08-01-1948,3.9,1948.625
09-01-1948,3.8,1948.708333
10-01-1948,3.7,1948.791667
11-01-1948,3.8,1948.875
12-01-1948,4,1948.958333
01-01-1949,4.3,1949.041667
02-01-1949,4.7,1949.125
03-01-1949,5,1949.208333
04-01-1949,5.3,1949.291667
05-01-1949,6.1,1949.375
06-01-1949,6.2,1949.458333
07-01-1949,6.7,1949.541667
08-01-1949,6.8,1949.625
09-01-1949,6.6,1949.708333
10-01-1949,7.9,1949.791667
11-01-1949,6.4,1949.875
12-01-1949,6.6,1949.958333
01-01-1950,6.5,1950.041667
02-01-1950,6.4,1950.125
03-01-1950,6.3,1950.208333
04-01-1950,5.8,1950.291667
05-01-1950,5.5,1950.375
06-01-1950,5.4,1950.458333
07-01-1950,5,1950.541667
08-01-1950,4.5,1950.625
09-01-1950,4.4,1950.708333
10-01-1950,4.2,1950.791667
11-01-1950,4.2,1950.875
12-01-1950,4.3,1950.958333
01-01-1951,3.7,1951.041667
02-01-1951,3.4,1951.125
03-01-1951,3.4,1951.208333
04-01-1951,3.1,1951.291667
05-01-1951,3,1951.375
06-01-1951,3.2,1951.458333
07-01-1951,3.1,1951.541667
08-01-1951,3.1,1951.625
09-01-1951,3.3,1951.708333
10-01-1951,3.5,1951.791667
11-01-1951,3.5,1951.875
12-01-1951,3.1,1951.958333
01-01-1952,3.2,1952.041667
02-01-1952,3.1,1952.125
03-01-1952,2.9,1952.208333
04-01-1952,2.9,1952.291667
05-01-1952,3,1952.375
06-01-1952,3,1952.458333
07-01-1952,3.2,1952.541667
08-01-1952,3.4,1952.625
09-01-1952,3.1,1952.708333
10-01-1952,3,1952.791667
11-01-1952,2.8,1952.875
12-01-1952,2.7,1952.958333
01-01-1953,2.9,1953.041667
02-01-1953,2.6,1953.125
03-01-1953,2.6,1953.208333
04-01-1953,2.7,1953.291667
05-01-1953,2.5,1953.375
06-01-1953,2.5,1953.458333
07-01-1953,2.6,1953.541667
08-01-1953,2.7,1953.625
09-01-1953,2.9,1953.708333
10-01-1953,3.1,1953.791667
11-01-1953,3.5,1953.875
12-01-1953,4.5,1953.958333
01-01-1954,4.9,1954.041667
02-01-1954,5.2,1954.125
03-01-1954,5.7,1954.208333
04-01-1954,5.9,1954.291667
05-01-1954,5.9,1954.375
06-01-1954,5.6,1954.458333
07-01-1954,5.8,1954.541667
08-01-1954,6,1954.625
09-01-1954,6.1,1954.708333
10-01-1954,5.7,1954.791667
11-01-1954,5.3,1954.875
12-01-1954,5,1954.958333
01-01-1955,4.9,1955.041667
02-01-1955,4.7,1955.125
03-01-1955,4.6,1955.208333
04-01-1955,4.7,1955.291667
05-01-1955,4.3,1955.375
06-01-1955,4.2,1955.458333
07-01-1955,4,1955.541667
08-01-1955,4.2,1955.625
09-01-1955,4.1,1955.708333
10-01-1955,4.3,1955.791667
11-01-1955,4.2,1955.875
12-01-1955,4.2,1955.958333
01-01-1956,4,1956.041667
02-01-1956,3.9,1956.125
03-01-1956,4.2,1956.208333
04-01-1956,4,1956.291667
05-01-1956,4.3,1956.375
06-01-1956,4.3,1956.458333
07-01-1956,4.4,1956.541667
08-01-1956,4.1,1956.625
09-01-1956,3.9,1956.708333
10-01-1956,3.9,1956.791667
11-01-1956,4.3,1956.875
12-01-1956,4.2,1956.958333
01-01-1957,4.2,1957.041667
02-01-1957,3.9,1957.125
03-01-1957,3.7,1957.208333
04-01-1957,3.9,1957.291667
05-01-1957,4.1,1957.375
06-01-1957,4.3,1957.458333
07-01-1957,4.2,1957.541667
08-01-1957,4.1,1957.625
09-01-1957,4.4,1957.708333
10-01-1957,4.5,1957.791667
11-01-1957,5.1,1957.875
12-01-1957,5.2,1957.958333
