REIT Name,Performance Grade,Type of Properties,Value Grade,Dividend Yield(%),"Net Asset Value ($Bil, 5 yr annualized)",Operations Income (5 year annualized),Debt (% Assets)
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Liberty Property,C,offices,A,8.3,10,-4.4,46
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Maguire Properties,,offices,C,6.8,21.4,,73
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Liberty Property,C,offices,A,8.3,10,-4.4,46
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Maguire Properties,,offices,C,6.8,21.4,,73
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Liberty Property,C,offices,A,8.3,10,-4.4,46
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Maguire Properties,,offices,C,6.8,21.4,,73
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Liberty Property,C,offices,A,8.3,10,-4.4,46
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Maguire Properties,,offices,C,6.8,21.4,,73
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Maguire Properties,,offices,C,6.8,21.4,,73
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Liberty Property,C,offices,A,8.3,10,-4.4,46
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Liberty Property,C,offices,A,8.3,10,-4.4,46
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Maguire Properties,,offices,C,6.8,21.4,,73
Maguire Properties,,offices,C,6.8,21.4,,73
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Liberty Property,C,offices,A,8.3,10,-4.4,46
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Boston Properties,B,offices,D,3.1,27.6,2.9,29
Cousins Properties,F,offices,D,6.1,9.1,-16.3,42
Duke Realty,C,offices,A,8.2,10.2,1.7,54
Highwoods Properties,D,offices,C,5.8,12.7,-7.5,47
Kilroy Realty,B,offices,B,4.7,26.6,-0.4,34
Liberty Property,C,offices,A,8.3,10,-4.4,46
Mack-Cali Realty,C,offices,B,7.3,10.6,-3.9,40
Maguire Properties,,offices,C,6.8,21.4,,73
Vornado Realty,B,offices,C,4.1,27.2,6.8,43
Washington REIT,C,offices,C,5.4,13.7,-1.8,43
