Host,Count,Proportion
Typed amazon.com,89919,0.47577197
msn.com,7258,0.03840293
yahoo.com,6078,0.03215941
google.com,4381,0.02318038
recipesource.com,4283,0.02266186
aol.com,1639,0.00867214
iwon.com,1573,0.00832293
atwola.com,1289,0.00682025
bmezine.com,1285,0.00679909
daily-blessings.com,1166,0.00616944
imdb.com,886,0.00468793
couponmountain.com,813,0.00430168
earthlink.net,790,0.00417998
popupad.net,589,0.00311647
overture.com,586,0.00310059
dotcomscoop.com,577,0.00305297
netscape.com,544,0.00287837
dealtime.com,543,0.00287308
att.net,533,0.00282017
postcards.org,532,0.00281487
24hour-mall.com,503,0.00266143
Other,63229,0.33455205
