Company,CEO,Salary (million)
AAR CORP,David P. Storch,0.85
ADC TELECOMMUNICATIONS INC,Robert E. Switz,0.77
AMR CORP/DE,Gerard Arpey,0.67
AVX CORP,John S. Gilbertson,0.75
PINNACLE WEST CAPITAL CORP,Donald E. Brandt,0.96
AARON'S INC,"Robert C. Loudermilk, Jr.",0.66
ABBOTT LABORATORIES,Miles D. White,1.89
ADVANCED MICRO DEVICES,Thomas Seifert,0.53
AETNA INC,Mark T. Bertolini,0.94
AIR PRODUCTS & CHEMICALS INC,John E. McGlade,1.2
ALASKA AIR GROUP INC,William S. Ayer,0.4
ALBERTO-CULVER CO,V. James Marino,0.95
ALEXANDER & BALDWIN INC,Stanley M. Kuriyama,0.62
ALLEGHENY ENERGY INC,Paul J. Evanson,1.21
HONEYWELL INTERNATIONAL INC,David M. Cote,1.8
SKYWORKS SOLUTIONS INC,David J. Aldrich,0.61
ALCOA INC,"Klaus Kleinfeld, Ph.D., rer. pol., Dipl.-Kfm.",1.4
HESS CORP,John B. Hess,1.5
FORTUNE BRANDS INC,Bruce A. Carbonari,1.13
ABM INDUSTRIES INC,Henrik C. Slipsager,0.81
AMERICAN ELECTRIC POWER CO,Michael G. Morris,1.27
AMERICAN EXPRESS CO,Kenneth I. Chenault,1.94
AFLAC INC,Daniel P. Amos,1.38
AMERICAN GREETINGS  -CL A,Zev Weiss,0.94
AMERICAN INTERNATIONAL GROUP,Robert Herman Benmosche,3
AMERICAN PACIFIC CORP,"Joseph Carleone, Ph.D.",0.45
AMERICAN SCIENCE ENGINEERING,Anthony R. Fabiano,0.58
AMERICAN VANGUARD CORP,Eric G. Wintemute,0.5
AMETEK INC,Frank S. Hermance,1
AMGEN INC,Kevin W. Sharer,1.75
ANALOG DEVICES,Jerald G. Fishman,0.93
ANALOGIC CORP,Jim Green,0.49
ANALYSTS INTERNATIONAL CORP,Brittany B. McKinney,0.23
ANDERSONS INC,Mike Anderson,0.52
NABORS INDUSTRIES LTD,Eugene M. Isenberg,1.19
APACHE CORP,G. Steven Farris,1.75
APOGEE ENTERPRISES INC,Russell Huffer,0.7
APPLE INC,Timothy D. Cook,0.8
APPLIED MATERIALS INC,Michael R. Splinter,0.97
ACTUANT CORP  -CL A,Robert C. Arzbaecher,0.85
ARCHER-DANIELS-MIDLAND CO,Patricia Woertz,1.3
ARKANSAS BEST CORP,Judy R. McReynolds,0.45
ARROW ELECTRONICS INC,Michael J. Long,0.8
ASHLAND INC,James J. O'Brien,1.13
AGL RESOURCES INC,"John W. Somerhalder, II",0.85
ATWOOD OCEANICS,Robert J. Saltiel,0.52
AUTODESK INC,Carl Bass,0.92
AUTOMATIC DATA PROCESSING,Gary C. Butler,1
AVERY DENNISON CORP,Dean A. Scarborough,0.97
AVNET INC,Richard Hamada,0.7
AVON PRODUCTS,Andrea Jung,1.38
AZZ INC,David H. Dingus,0.5
BADGER METER INC,Richard A. Meeusen,0.54
BAKER HUGHES INC,Chadwick C. Deaton,1.28
BALCHEM CORP  -CL B,Dino A. Rossi,0.51
BALL CORP,John A. Hayes,0.73
CONSTELLATION ENERGY GRP INC,"Mayo A. Shattuck, III",1.3
POPULAR INC,Richard L. Carrion,0.84
BANK OF HAWAII CORP,Peter S. Ho,0.67
BANCTEC INC-REDH,J. Coley Clark,0.48
BANK OF NEW YORK MELLON CORP,Robert P. Kelly,1
BRE PROPERTIES INC,Constance B. Moore,0.48
BARD (C.R.) INC,Timothy M. Ring,1.05
BARNES GROUP INC,Gregory F. Milzcik,0.86
BARRICK GOLD CORP,"Aaron W. Regent, C.A",1.55
BASSETT FURNITURE INDS,"Robert H. Spilman, Jr.",0.34
BAXTER INTERNATIONAL INC,"Robert L. Parkinson, Jr.",1.37
APPLIED INDUSTRIAL TECH INC,David L. Pugh,0.95
